ra,dec,name,hd,vmag,bv,hex 
24.035,-29.9075,Tau Scl,9906,5.69,0.33,#f6f4ff
24.274583,12.141667,102Pi Psc,9919,5.57,0.35,#f8f6ff
24.498333,48.628333,51 And,9927,3.57,1.28,#ffdbb1
24.632083,45.4,,9996,6.36,0.04,#d9e1ff
24.407083,-9.403889,,10009,6.24,0.53,#fff5f1
23.413333,-78.504722,,10042,6.11,0.97,#ffe5c8
24.186667,-58.270833,,10052,6.18,1.61,#ffcf94
24.8375,44.386111,52Chi And,10072,4.98,0.89,#ffe8ce
25.054583,53.868333,,10110,6.39,1.61,#ffcf94
24.614167,-36.528333,,10142,5.94,1.05,#ffe3c3
